26 90
hESC_nmr_UH_x3800.cnx	hESC_nmr_UH_x3801.cnx	hESC_nmr_UH_x3802.cnx	hESC_nmr_UH_x3803.cnx	hESC_nmr_UH_x3804.cnx	EB_nmr_UH_x3723.cnx	EB_nmr_UH_x3724.cnx	EB_nmr_UH_x3725.cnx	EB_nmr_UH_x3726.cnx	Rosette_nmr_UH_x3748.cnx	Rosette_nmr_UH_x3750.cnx	Rosette_nmr_UH_x3751.cnx	hNPC_UH-10072013_NMR_x6758.cnx	hNPC_UH-10072013_NMR_x6759.cnx	hNPC_UH-10072013_NMR_x6760.cnx	hNPC_UH-10072013_NMR_x6761.cnx	hNPC_UH-10072013_NMR_x6766.cnx	hNPC_UH-10072013_NMR_x6769.cnx	hNPC_UH-10072013_NMR_x6770.cnx	hNPC_UH-10072013_NMR_x6771.cnx	Neuron_nmr_UH_x3930.cnx	Neuron_nmr_UH_x3931.cnx	Neuron_nmr_UH_x3932.cnx	Neuron_nmr_UH_x3933.cnx	Neuron_nmr_UH_x3934.cnx	Neuron_nmr_UH_x3935.cnx
Homoserine	0	0	0	0	0	0	0	0	0	2.6	3.3	2.8	5.9	9.7	10	1.7	1.9	2.8	14.4	2.2	0	0	0	0	0	0
I-Methylhistidine	0	0	0	0	0	0	0	0	0	0	1.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
II-Methylhistidine	2.2	2.2	2.2	5.8	2.2	0.5	0.1	0.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.5	0.3	0.7	0.3
I-Alanine	12.8	12.8	3.4	12.7	6.3	0.3	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	3.1	4.3	5.4	2.3	3.8	3.1
Imidazole	1.1	1.1	1.1	1.1	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Isocitrate	7	7	7	7	7	0	0	0	0	1.7	1.7	1.2	0	0	0	0	0	0	0	0	3.4	4.2	7.6	3.8	2.1	7
Isoleucine	7.9	7.9	7.9	7	7.9	1	0.8	0.6	0.5	1	2.3	2.6	6.2	5.8	7.6	0.6	1.7	1.6	9.4	1.5	2.3	2.1	1.9	2.4	1.1	1.1
Lactate	68.3	68.3	68.3	68.3	68.3	7.1	5.7	6.4	4.6	4.2	10.1	11.2	12.9	10.8	14.7	5.7	12.3	9.6	14.1	7	15.9	13	20.1	19.2	9.2	20.1
Leucine	21.7	21.7	20.9	19.7	21.7	2.5	1.9	1.7	1.1	2	5.4	5.8	16.4	17.8	21.9	4.4	5	4.4	24.2	4.2	4.3	4.7	4.8	4.6	3.5	4.3
Lysine	7.4	7.4	7.4	7.4	5.6	2.7	1.7	1.4	0.8	2.3	4.9	5.9	22.8	21.8	22.6	1.7	1.1	3.3	29.3	3.3	4.5	5.5	5	4.6	2.6	5
Malate	10.9	8.7	10.9	9.4	8.7	0	0	0	0	0	0	0	10.9	5.6	5.8	1	0.7	1.3	2.4	0.8	0	0	0	0	0	0
Maltose	8.5	2.9	7.7	3.2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mannitol	4.1	3.3	4.1	4.1	1.9	1.5	1.5	1.5	1.2	0	0	0	0	0	0	0	0	0	0	0	2.1	2.8	2.8	1.1	1.9	2.8
Methionine	5.8	4.4	5.8	4.5	4.4	1.4	0.8	0.7	0.8	0	0	0	9.7	9.7	11.5	0.4	1.7	1.6	8.4	1.1	1.6	1.7	1.3	1.3	1.3	1.3
myo-Inositol	11.4	11.4	8.7	9.8	11.4	0.8	0.8	1	0.8	1.2	1.3	1.6	3.6	2.6	3.4	1.1	0.7	1.2	1.6	0.9	20.3	21.9	20.5	16	18	14.9
N-Acetylaspartate	4.4	4.4	4.4	2.5	4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0.6	1.2	1.4	0.5	1.4
N-Acetylcysteine	9.6	9.6	9.6	9.6	9.6	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8	5.4	6	5.5	6.7	5.5
N-Acetylglutamate	4.7	4.7	4.7	4.7	4.7	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	3.3	4	4.1	0.4	4.7
N-Acetylglycine	11.8	10.7	11.8	13.2	6	1.1	1.1	1	0.3	0	0	0	0	0	0	0	0	0	0	0	2.2	2.2	2.2	1.2	1.7	2.2
N-Carbamoylaspartate	5.2	5.2	5.2	5.2	5.2	1.1	0.9	1.1	0.7	0	0	0	0	0	0	0	0	0	0	0	2.1	0.8	0.6	0.8	0	0.8
Nicotinic_ac_adenine_dinuc	0.3	0.3	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3	0.3	0	0.3
Nicotinurate	4.4	1.4	2.4	4.1	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-Phenylacetylphenylalanine	5.3	2.4	1.9	5.3	2.4	0.2	0.2	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O-Phosphocholine	37.5	39.9	39.7	34.9	38.9	0.9	0.9	0.8	0.7	2	2.4	2.6	13.6	14	13.5	12	7.1	4.5	7.3	3	5.1	4.8	4.3	4.2	3.8	4.1
O-Phosphoethanolamine	18.4	18.4	18.4	18.4	16.5	0	0	0	0	0	0	0	9.5	15.7	16.5	5.1	3.9	3.1	3.1	1.5	0	0	0	0	0	0
Ornithine	10.6	10.6	10.6	10.6	13.1	2.6	1.5	1.6	1.3	0	0	0	0	0	0	0	0	0	0	0	10.8	9.9	6.2	7.3	5.1	7.3
Phenylalanine	5.4	3.3	5.4	5.3	3.3	0.3	0.3	0.3	0.7	0	0	0	6.1	4.7	7.1	1.2	2.4	1.7	5.9	1.6	2.4	2.9	2.7	2.7	2.3	2
Putrescine	8.9	7.7	7.3	6.8	7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyruvate	7.1	7.1	7.1	6.9	7.1	1.7	1.1	1.1	1.2	1.3	2.1	1.8	0	0	0	0	0	0	0	0	1.8	1.7	0.7	0.9	0.8	1.6
Serine	28.7	28.7	28.7	13.2	28.7	7.3	4.6	4.4	4.2	7.8	15.1	13.7	15.5	17.6	18.2	3.9	5.5	5.8	22	4.8	12.1	12.3	11.2	10.9	8.4	9.6
sn-Glycero-3-phosphocholine	2.6	2.6	2.6	2.6	2.9	0.3	0.3	0.3	0.2	0.2	0.6	0.9	1.5	1.1	1.6	0.7	0.6	0.4	2.7	0.5	11.4	12.9	12.7	11.9	11	12.3
Tartrate	19.5	18.5	16.1	19.5	16.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6.2	10.2	7.1	5.9	6.2
Taurine	2.7	2.7	2.4	2.4	2.7	1	1.1	0.6	1	0.7	0.7	0.7	0	0	0	0	0	0	0	0	0.4	0.5	0.2	0.6	1.2	0.6
Threonate	15.9	15.9	15.9	15.9	15.9	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Threonine	3.1	3.1	3.1	3.1	3.1	2.4	2	1.1	1.6	0	0	0	1.6	2.9	1.5	0.7	1.8	2	6.1	2.5	1.1	6.5	1.4	3.1	4.3	3.1
Tryptophan	1.1	1.1	1.9	1.1	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	1.1	1.2	2	1.8	1.1
Tyrosine	7.4	4.9	7.3	7.2	4.9	0	0	0	0	0	0	0	3.7	4.4	5.8	1.3	1.4	1.1	6.1	1.1	3.9	4.5	4.5	3.5	3	4.5
UDP-galactose	2.7	2.7	2.7	2	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1.7	2.3	2.2	2	2.7
UDP-glucose	3.3	3.4	3.3	0.9	2.1	0.3	0.3	0.7	0.3	0	0	0	0	0	0	0	0	0	0	0	1.5	1.8	2.5	3	3.4	1.9
Uridine	2.2	2.2	2.2	2.8	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0.2	0.2	0.3	0.2
Valine	9.5	8.8	9.2	8	8.8	0.8	0.7	0.6	0.3	0.8	1.4	2.1	10.2	11.6	13.2	1.5	2.6	2.4	14.8	2.2	2.2	2	1.7	2	0.9	2
NAD+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	1.9	1.9	1.9	1.8	2.1
NADH	0	0	0	0	0	0	0	0	0	0	0.4	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADPH	0	0	0	0	0	0	0	0	0	0	0.6	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
