26 90																											
hESC_nmr_UH_x3800.cnx	hESC_nmr_UH_x3801.cnx	hESC_nmr_UH_x3802.cnx	hESC_nmr_UH_x3803.cnx	hESC_nmr_UH_x3804.cnx	EB_nmr_UH_x3723.cnx	EB_nmr_UH_x3724.cnx	EB_nmr_UH_x3725.cnx	EB_nmr_UH_x3726.cnx	Rosette_nmr_UH_x3748.cnx	Rosette_nmr_UH_x3750.cnx	Rosette_nmr_UH_x3751.cnx	hNPC_UH-10072013_NMR_x6758.cnx	hNPC_UH-10072013_NMR_x6759.cnx	hNPC_UH-10072013_NMR_x6760.cnx	hNPC_UH-10072013_NMR_x6761.cnx	hNPC_UH-10072013_NMR_x6766.cnx	hNPC_UH-10072013_NMR_x6769.cnx	hNPC_UH-10072013_NMR_x6770.cnx	hNPC_UH-10072013_NMR_x6771.cnx	Neuron_nmr_UH_x3930.cnx	Neuron_nmr_UH_x3931.cnx	Neuron_nmr_UH_x3932.cnx	Neuron_nmr_UH_x3933.cnx	Neuron_nmr_UH_x3934.cnx	Neuron_nmr_UH_x3935.cnx		
Caprate	4.6	4.6	4.6	4.6	4.6	2.6	1.6	1.3	1.2	0	0	0	0	0	0	0	0	0	0	0	5	6.9	5.7	6.2	1.9	8.2	7.082584615
Carnitine	2.1	2.1	2.1	2.1	2.1	0.5	0.2	0.3	0.2	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.664384615
Carnosine	1.2	1.2	1.2	1.2	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	1.4	1.2	1.3	1.3	1.2	0.426538462
Choline	2.8	2.3	2.4	1.7	1.9	0.8	0.7	0.7	0.6	0.7	1.4	1.7	2	2.1	1.9	0.9	0.8	0.5	2.1	0.4	0.5	0.5	0.5	0.4	0.2	0.5	0.609538462
Citrate	4.4	4.4	4.4	4.4	4.4	1	0.5	0.6	0.6	0.9	1	0.8	16.2	12.5	13.5	7.4	5.2	1.8	7.5	2.1	0.5	0.4	1	0.5	0.9	1.1	19.28621538
Citrulline	1.6	1.6	1.6	1.6	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	1.6	1.6	1.6	1.6	1.6	0.720384615
Creatine	4.9	4.9	4.9	4.9	4.9	0.4	0.2	0.4	0.2	0	0	0	0	0	0	0	0	0	0	0	1.3	1.2	1	1.5	1	1	3.508138462
Creatine-phosphate	1.5	1.5	1.5	1.5	1.5	1.1	0.2	0.2	0.3	0	0	0	0	0	0	0	0	0	0	0	0.1	1.1	0.9	0.1	2.3	0.1	0.501553846
Creatinine	1.4	1.4	1.4	1.4	1.4	1.5	0.5	0.6	0.3	0	0	0	0	0	0	0	0	0	0	0	1.9	1.9	2.2	2	2.7	1.9	0.809553846
Cytidine	0.4	0.4	0.4	0.4	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.3	0.4	0.4	0	0.4	0.0378
Cytosine	0	0	0	0	0	0	0	0	0	1.2	1.7	2.1	3.1	2.3	2.6	1.9	1.1	0.9	2	0.8	0	0	0	0	0	0	1.029738462
Ethanolamine	18.6	16.8	18	17.9	27.1	4.5	3.3	1.3	0.5	0	0	0	7.7	7.6	6.4	0.9	2.2	1.2	6.2	1.4	22.8	29.4	21.5	24.1	23.5	38.3	128.1085538
Fumarate	1.7	1.7	1.7	1.7	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.2	0.3	0.2	0.4	0.2	0.442415385
Glutamate	72	89.7	62.4	73.1	83.1	0	0	0	0	3.8	5	8.1	15.4	7.7	14.4	4.1	4.5	4.1	15.6	3.5	6.4	6.7	4.7	5.5	3.3	6.2	835.6179846
Glutamine	4.9	4.9	4.9	4.9	4.9	0	0	0	0	1.5	1.5	1.5	3.6	0	5.2	2.6	1.3	1.5	2.6	1.1	0.9	0.4	0.6	0.3	0.4	0.4	3.657615385
Glutarate	6.3	6.3	6.3	5.6	6.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	1.7	1.6	1.5	1.2	2.4	5.744938462
Glutaric-acid-monomethyl-ester	4.8	5.3	4.8	4.8	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.1	1.1	1.5	0.6	1.1	3.784738462
Glutathione	10.2	10.2	10.2	10.2	6.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.9	11.3	8.6	9.7	11.4	10.2	27.1672
Glycerol	0	0	0	0	0	0	0	0	0	9.3	8.5	8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.175461538
Glycine	24.9	24.9	24.9	24.9	24.9	1.1	1.1	0.8	0.9	1.5	1.5	1.5	7.4	8.2	9.5	3.1	3.9	3.3	13.9	2.5	20	19.6	19.1	21.1	17.1	18.5	92.92333846
Histidine	1	1	1	0.7	1	0	0	0	0	0	0	0	2	1.7	1.6	0.7	0.7	0.7	2.6	0.7	0.6	0.8	0.5	0.6	0.6	1	0.4402
Homoserine	0	0	0	0	0	0	0	0	0	2.6	3.3	2.8	5.9	9.7	10	1.7	1.9	2.8	14.4	2.2	0	0	0	0	0	0	14.18598462
I-Methylhistidine	0	0	0	0	0	0	0	0	0	0	1.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090153846
II-Methylhistidine	2.2	2.2	2.2	5.8	2.2	0.5	0.1	0.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.5	0.3	0.7	0.3	1.665353846
I-Alanine	12.8	12.8	3.4	12.7	6.3	0.3	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	3.1	4.3	5.4	2.3	3.8	3.1	17.28806154
Imidazole	1.1	1.1	1.1	1.1	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195461538
Isocitrate	7	7	7	7	7	0	0	0	0	1.7	1.7	1.2	0	0	0	0	0	0	0	0	3.4	4.2	7.6	3.8	2.1	7	9.229984615
Isoleucine	7.9	7.9	7.9	7	7.9	1	0.8	0.6	0.5	1	2.3	2.6	6.2	5.8	7.6	0.6	1.7	1.6	9.4	1.5	2.3	2.1	1.9	2.4	1.1	1.1	9.247153846
Lactate	68.3	68.3	68.3	68.3	68.3	7.1	5.7	6.4	4.6	4.2	10.1	11.2	12.9	10.8	14.7	5.7	12.3	9.6	14.1	7	15.9	13	20.1	19.2	9.2	20.1	547.4606154
Leucine	21.7	21.7	20.9	19.7	21.7	2.5	1.9	1.7	1.1	2	5.4	5.8	16.4	17.8	21.9	4.4	5	4.4	24.2	4.2	4.3	4.7	4.8	4.6	3.5	4.3	70.03446154
Lysine	7.4	7.4	7.4	7.4	5.6	2.7	1.7	1.4	0.8	2.3	4.9	5.9	22.8	21.8	22.6	1.7	1.1	3.3	29.3	3.3	4.5	5.5	5	4.6	2.6	5	59.46141538
Malate	10.9	8.7	10.9	9.4	8.7	0	0	0	0	0	0	0	10.9	5.6	5.8	1	0.7	1.3	2.4	0.8	0	0	0	0	0	0	17.68475385
Maltose	8.5	2.9	7.7	3.2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.155153846
Mannitol	4.1	3.3	4.1	4.1	1.9	1.5	1.5	1.5	1.2	0	0	0	0	0	0	0	0	0	0	0	2.1	2.8	2.8	1.1	1.9	2.8	2.162661538
Methionine	5.8	4.4	5.8	4.5	4.4	1.4	0.8	0.7	0.8	0	0	0	9.7	9.7	11.5	0.4	1.7	1.6	8.4	1.1	1.6	1.7	1.3	1.3	1.3	1.3	11.45624615
myo-Inositol	11.4	11.4	8.7	9.8	11.4	0.8	0.8	1	0.8	1.2	1.3	1.6	3.6	2.6	3.4	1.1	0.7	1.2	1.6	0.9	20.3	21.9	20.5	16	18	14.9	55.13786154
N-Acetylaspartate	4.4	4.4	4.4	2.5	4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0.6	1.2	1.4	0.5	1.4	2.570784615
N-Acetylcysteine	9.6	9.6	9.6	9.6	9.6	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8	5.4	6	5.5	6.7	5.5	15.61833846
N-Acetylglutamate	4.7	4.7	4.7	4.7	4.7	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	3.3	4	4.1	0.4	4.7	4.506846154
N-Acetylglycine	11.8	10.7	11.8	13.2	6	1.1	1.1	1	0.3	0	0	0	0	0	0	0	0	0	0	0	2.2	2.2	2.2	1.2	1.7	2.2	17.95533846
N-Carbamoylaspartate	5.2	5.2	5.2	5.2	5.2	1.1	0.9	1.1	0.7	0	0	0	0	0	0	0	0	0	0	0	2.1	0.8	0.6	0.8	0	0.8	3.950538462
Nicotinic_ac_adenine_dinuc	0.3	0.3	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3	0.3	0	0.3	0.022153846
Nicotinurate	4.4	1.4	2.4	4.1	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.795584615
N-Phenylacetylphenylalanine	5.3	2.4	1.9	5.3	2.4	0.2	0.2	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.354784615
O-Phosphocholine	37.5	39.9	39.7	34.9	38.9	0.9	0.9	0.8	0.7	2	2.4	2.6	13.6	14	13.5	12	7.1	4.5	7.3	3	5.1	4.8	4.3	4.2	3.8	4.1	190.4783538
O-Phosphoethanolamine	18.4	18.4	18.4	18.4	16.5	0	0	0	0	0	0	0	9.5	15.7	16.5	5.1	3.9	3.1	3.1	1.5	0	0	0	0	0	0	58.00026154
Ornithine	10.6	10.6	10.6	10.6	13.1	2.6	1.5	1.6	1.3	0	0	0	0	0	0	0	0	0	0	0	10.8	9.9	6.2	7.3	5.1	7.3	22.48758462
Phenylalanine	5.4	3.3	5.4	5.3	3.3	0.3	0.3	0.3	0.7	0	0	0	6.1	4.7	7.1	1.2	2.4	1.7	5.9	1.6	2.4	2.9	2.7	2.7	2.3	2	4.627938462
Putrescine	8.9	7.7	7.3	6.8	7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.384938462
Pyruvate	7.1	7.1	7.1	6.9	7.1	1.7	1.1	1.1	1.2	1.3	2.1	1.8	0	0	0	0	0	0	0	0	1.8	1.7	0.7	0.9	0.8	1.6	6.700938462
Serine	28.7	28.7	28.7	13.2	28.7	7.3	4.6	4.4	4.2	7.8	15.1	13.7	15.5	17.6	18.2	3.9	5.5	5.8	22	4.8	12.1	12.3	11.2	10.9	8.4	9.6	68.26906154
sn-Glycero-3-phosphocholine	2.6	2.6	2.6	2.6	2.9	0.3	0.3	0.3	0.2	0.2	0.6	0.9	1.5	1.1	1.6	0.7	0.6	0.4	2.7	0.5	11.4	12.9	12.7	11.9	11	12.3	22.32898462
Tartrate	19.5	18.5	16.1	19.5	16.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6.2	10.2	7.1	5.9	6.2	50.95404615
Taurine	2.7	2.7	2.4	2.4	2.7	1	1.1	0.6	1	0.7	0.7	0.7	0	0	0	0	0	0	0	0	0.4	0.5	0.2	0.6	1.2	0.6	0.883384615
Threonate	15.9	15.9	15.9	15.9	15.9	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.74204615
Threonine	3.1	3.1	3.1	3.1	3.1	2.4	2	1.1	1.6	0	0	0	1.6	2.9	1.5	0.7	1.8	2	6.1	2.5	1.1	6.5	1.4	3.1	4.3	3.1	2.602584615
Tryptophan	1.1	1.1	1.9	1.1	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	1.1	1.2	2	1.8	1.1	0.792184615
Tyrosine	7.4	4.9	7.3	7.2	4.9	0	0	0	0	0	0	0	3.7	4.4	5.8	1.3	1.4	1.1	6.1	1.1	3.9	4.5	4.5	3.5	3	4.5	6.633984615
UDP-galactose	2.7	2.7	2.7	2	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1.7	2.3	2.2	2	2.7	2.158353846
UDP-glucose	3.3	3.4	3.3	0.9	2.1	0.3	0.3	0.7	0.3	0	0	0	0	0	0	0	0	0	0	0	1.5	1.8	2.5	3	3.4	1.9	1.741984615
Uridine	2.2	2.2	2.2	2.8	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0.2	0.2	0.3	0.2	0.843584615
Valine	9.5	8.8	9.2	8	8.8	0.8	0.7	0.6	0.3	0.8	1.4	2.1	10.2	11.6	13.2	1.5	2.6	2.4	14.8	2.2	2.2	2	1.7	2	0.9	2	20.71084615
NAD+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	1.9	1.9	1.9	1.8	2.1	0.668861538
NADH	0	0	0	0	0	0	0	0	0	0	0.4	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011815385
NADPH	0	0	0	0	0	0	0	0	0	0	0.6	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0314
																											
																											
stdev	18.95229361	20.61503712	19.38659733	18.65351516	19.86049124	1.735767881	1.563414427	1.485015038	1.202990448	1.760419667	2.607343179	2.988819992	5.307494054	5.372700681	6.444964259	2.041020038	2.101107252	1.989774107	6.466233817	1.663518	5.178714237	6.011745059	5.850097473	5.025839474	4.842622354	6.454986653	
avg	11.39777778	11.41555556	11.06111111	10.79111111	11.21	0.994444444	0.757777778	0.73	0.597777778	0.758888889	1.165555556	1.29	3.071111111	2.975555556	3.565555556	0.991111111	1.08	0.988888889	3.313333333	0.803333333	3.484444444	3.873333333	3.82	3.332222222	3.004444444	3.878888889	
																											
standardized:																											
2-Aminoadipate	-0.168727746	-0.15598107	-0.147581913	-0.13890739	-0.151557178	0.69453731	0.922482355	0.249155726	0.666856685	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	0.080242998	0.25394734	0.116237379	0.093074556	0.122982036	0.235648994	0.183132428
2-Aminobutyrate	-0.395613213	-0.364566676	-0.369384632	-0.240764868	-0.368067432	-0.284856316	-0.164881284	-0.154880586	-0.081278931	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.074235501	0.004435761	-0.157262337	-0.185485873	-0.021567745	0.003270512	0.036356337
2-Hydroxyglutarate	1.071227717	0.983963518	1.064595738	1.120908778	1.031696535	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	0.408509807	0.303849656	0.321362167	0.152766077	-0.228067432	0.28212469	0.394453848
2-Hydroxyvalerate	2.733295678	2.33734454	2.539841729	2.809598536	2.275371714	4.324054868	5.71967488	5.097591477	3.74252533	-0.431084078	-0.447028057	-0.431608462	1.324332881	1.512171425	1.339719523	3.287027449	1.913276914	1.060980291	0.415491729	0.41879118	1.933984981	1.983894285	2.90251574	2.361352335	1.589129813	1.84680647	2.440141943
2-Oxobutyrate	-0.601393056	-0.553748969	-0.570554539	-0.578502819	-0.564437197	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.147060893	0.013210553	0.070261843	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.035414747
2-Oxoglutarate	-0.51169415	-0.471284893	-0.482865092	-0.487367182	-0.47884012	-0.457690486	-0.356768985	-0.356898743	-0.33065747	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.614910246	-0.611026133	-0.584605644	-0.444149128	-0.537816962	-0.569929744	0.005546422
2-Phosphoglycerate	1.176755842	1.080980079	1.167759793	1.228127175	1.132398979	4.093609308	4.696273808	4.962912706	6.236310717	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	3.67186809	4.711887545	4.543514039	2.679707111	4.583375274	4.619856355	5.577584455
3-Methyl-2-oxovalerate	-0.601393056	-0.553748969	-0.570554539	-0.578502819	-0.564437197	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.090256256	-0.1018491	-0.130486279	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.025295453
4-Aminobutyrate	6.236829411	6.426592574	6.795359012	6.369249326	6.414242148	0.464091751	0.090968984	0.720531424	0.583730506	1.102641119	1.4322796	1.375124635	0.77793566	0.097612816	0.160504295	0.004355121	0.866209946	0.60866764	0.260842202	0.358677614	-0.035615876	0.553361234	0.133331112	-0.22528022	-0.021567745	-0.089680881	6.022168731
5-Hydroxylysine	1.862688651	1.536957914	1.203867213	1.179878897	1.238136545	-0.572913265	-0.484694119	-0.491577514	-0.496909829	5.078965703	4.270417694	5.523919154	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.499051372	0.902677445	1.569204623	1.605259742	1.300030251	0.839833047	3.155882317
Acetamide	0.364189283	0.333952561	0.373396567	0.402545516	0.28146333	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.134007664
Acetate	-0.268979464	-0.248146803	-0.245587765	-0.240764868	-0.222048888	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.03345162	-0.063495882	-0.030112218	2.021460369	2.666153448	3.434378153	1.572198621	2.76996807	5.282565027	2.147566429	6.009352871	-0.054925688	-0.145271186	-0.140168605	-0.086000005	-0.062867682	-0.167140375	3.393853498
Adenine	-0.205662589	-0.189936867	-0.204322143	-0.176433829	-0.186803033	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.267333624	-0.311612238	-0.174356069	-0.404354781	-0.248717401	-0.182632274	0.021824839
Adenosine	-0.590840244	-0.544047313	-0.560238134	-0.56778098	-0.554366952	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.004860093
ADP	0.00539366	-0.000754573	0.094853618	0.107694924	0.064953076	0.406480361	0.60266952	0.518513268	0.583730506	0.70500866	0.320036293	0.137177883	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.227089719
Alanine	1.013187249	0.95485855	1.007855507	1.019051301	1.308628255	0.464091751	0.538706953	0.383834497	0.417478146	0.420985476	0.856981337	1.040544432	2.247555771	2.293901182	2.68961064	0.690286652	1.675307149	1.91534863	3.585807028	1.681176078	0.138172435	0.070972182	0.030768718	0.192560424	-0.10416762	0.111713804	0.859569692
Alloisoleucine	-0.601393056	-0.553748969	-0.570554539	-0.578502819	-0.564437197	-0.572913265	-0.484694119	-0.491577514	-0.496909829	0.420985476	0.05156377	0.003345802	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.062690009
AMP	0.290319596	0.353355873	0.290865323	0.273883439	0.341884796	-0.169633537	-0.100918717	-0.087541201	0.084973428	-0.03345162	-0.063495882	0.036803822	0.269221006	0.079000203	-0.165331492	1.327223074	0.77102204	0.307125874	-0.357755905	0.178336914	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.229599039
Anserine	-0.189833371	-0.252997631	-0.168214724	-0.256847627	-0.252259621	-0.342467706	-0.228843851	-0.222219972	-0.164405111	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.421812123	-0.361514554	-0.430762053	-0.444149128	-0.351967244	-0.399518857	0.016569165
Arginine	-0.057923215	-0.054113682	-0.194005737	-0.262208547	-0.045819612	-0.284856316	-0.164881284	-0.154880586	-0.081278931	0.136962291	0.281683075	-0.297776381	1.814206251	2.070549823	2.503418762	0.641291543	1.151773665	1.412779019	1.498038416	0.659245447	0.871945303	0.553361234	0.509393222	0.292046291	0.019732192	0.452535577	0.621640198
Ascorbate	-0.485312119	-0.447030753	-0.457074079	-0.460562582	-0.453664509	0.118423412	0.282856685	0.316495111	0.168099608	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	0.022313561	-0.228441712	-0.276918463	-0.364560434	-0.166117526	-0.260091768	0.073265956
Asparagine	0.037052097	0.033201223	0.363080161	0.070168484	0.044812587	1.443485378	0.218894118	1.865300976	0.417478146	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	0.67884718	0.287215551	0.748705474	0.252251944	0.639231253	0.669422161	0.420511002
